municipio,tipo,lugar,coordenadas,imagen,descripcion,img_url
Santivañez,Sitios naturales,Aguas termales de Cayacayani,"-17.559714079655265, -66.20536426845784",Cayacayani_santivañez.jpg,"Este balneario de nombre Cayacayani se encuentra ubicado a 17 kilómetros de la ciudad de Cochabamba, marchando por el camino de la Tamborada.",https://labtecnosocial.org/cocha-turismo/Cayacayani_santivañez.jpg
Quillacollo,Sitios naturales,Aguas termales de Liriuni,"-17.287769, -66.291954",Liriuni3.jpg,"El gran imán de esta hermosa zona es, definitivamente, la cualidad curativa y medicinal que posee su agua. Estas propiedades medicinales son fruto de la alta concentración de minerales y del proceso natural que atraviesa el agua, porque los acuíferos subterráneos se infiltran en la corteza terrestre, llegan a tomar contacto con la lava y se evapora. ",https://labtecnosocial.org/cocha-turismo/Liriuni3.jpg
Tapacari,Sitios naturales,Aguas Termales Incuyo,"-17.572799, -66.632218",aguas_termales_incuyo.jpg,"Se dice que las pozas de Incuyo fueron un punto referente del camino real de los Incas, mismos que mandaron a construir una serie de piscinas naturales en el cauce del río Incuyo, esto se observa en el tamaño de las tres posas. La más alta es más pequeña y con aguas termales mucho más calientes que era “para el líder” y las restantes fueron destinadas según la jerarquía.",https://labtecnosocial.org/cocha-turismo/aguas_termales_incuyo.jpg
Tacopaya,Sitios naturales,Aguas Termales Qollpa,"-17.842806, -66.618219",aguas_termales_collpa.jpg,"Distante a 135 kilómetros de la ciudad de Cochabamba se encuentra esta comunidad donde, según cuentan los comunarios, existen aguas termales hace más de 100 años, además de otros atractivos como chullpas, túneles y una casa colonial llamada “De los patrones”.",https://labtecnosocial.org/cocha-turismo/aguas_termales_collpa.jpg
Arbieto y Tolata,Sitios naturales,Angostura,"-17,5294831, -66,0857315",angostura.jpg,"La laguna La Angostura es una laguna artificial. La laguna se caracteriza por su forma alargada y por ser uno de los sitios de turismo local, ya que se puede acampar en cabañas construidas en sus orillas y pescar.",https://labtecnosocial.org/cocha-turismo/angostura.jpg
Chimore,Sitios naturales,Aroma Independiente,"-17.021582, -65.162863",aroma_independiente.jpg,"Es una zona con gran potencial Turístico que se encuentra rodeada de playas donde se puede realizar distintas actividades de aventura y recorridos de senderismo en sus llanuras altas, disfrutar de sus ríos donde se puede realizar pesca deportiva, actividades de aventura como el kayak, rafting, navegaciones en barcos de la comunidad y disfrutar de las pozas naturales que presenta la naturaleza de Aroma Independiente.",https://labtecnosocial.org/cocha-turismo/aroma_independiente.jpg
Aiquile,Sitios naturales,Bosques De Cactus (Caraparis,"-18.193980, -65.178705",cactus_carapari:jpg,"El Caraparí (Neoraimondia herzogiana) es un cactus columnar endémico de Bolivia que puede alcanzar hasta 15 metros de altura. Crece en el Valle Seco Interandino, en llanuras y valles fluviales.
En elevaciones, con altitudes entre 800 y 2.300 m sobre el nivel del mar, puede ser abundante y capaz de formar bosques.",https://labtecnosocial.org/cocha-turismo/cactus_carapari:jpg
Independencia,Sitios naturales,Bosques de Neblina,"-17.066929, -66.825275",bosques_neblina_independencia.jpg,"Uno de los recorridos turísticos más requeridos es la caminata al Bosque de Neblina de Pajchanti, cuya altitud oscila entre los 2800 y los 3800 m.s.n.m. Esta reserva forestal de la especie Pino de Monte es la mayor en Bolivia, alberga las siguientes especies forestales endémicas: la chachacoma y el pino de monte, además de fanerógamas y una gran variedad de plantas epifitas.",https://labtecnosocial.org/cocha-turismo/bosques_neblina_independencia.jpg
"Puerto Villarroel, Chimoré y Villa
Tunari",Sitios naturales,Bufeo (Río Mamoré),"-16.762336, -64.860183",bufeo.jpg,"No es novedad alguna que el departamento de Cochabamba comparte del hábitat natural del delfín rosado, un cetáceo de agua dulce endémico de la amazonia boliviana. Un equipo científico del Instituto de Investigaciones Aplicadas de los Recursos del Agua (Faunagua), estableció que en los afluentes del río Mamoré en el Chapare existe una población de 141 ejemplares registrados por dicho equipo.",https://labtecnosocial.org/cocha-turismo/bufeo.jpg
Shinahota,Sitios naturales,Cañón del Ivirizu,"-17.430505, -65.256054",Ivirizu.jpg,,https://labtecnosocial.org/cocha-turismo/Ivirizu.jpg
